Year Month,Industry,Suspicious Activity,Count
2019,Loan or Finance Company,Account Takeover,23
2019,Loan or Finance Company,ACH,259
2019,Loan or Finance Company,Against Financial Institution Customer(s),52
2019,Loan or Finance Company,Against Financial Institution(s),18
2019,Loan or Finance Company,Alters or Cancels Transaction to Avoid BSA Recordkeeping Requirement,9
2019,Loan or Finance Company,Alters or Cancels Transaction to Avoid CTR Requirement,8
2019,Loan or Finance Company,Application Fraud,"2,701"
2019,Loan or Finance Company,Appraisal Fraud,15
2019,Loan or Finance Company,Bribery or Gratuity,2
2019,Loan or Finance Company,Business Loan,12
2019,Loan or Finance Company,Changes Spelling or Arrangement of Name,82
2019,Loan or Finance Company,Check,133
2019,Loan or Finance Company,Consumer Loan ,"1,735"
2019,Loan or Finance Company,Counterfeit Instrument,94
2019,Loan or Finance Company,Credit/Debit Card,7
2019,Loan or Finance Company,Elder Financial Exploitation,83
2019,Loan or Finance Company,Embezzlement/Theft/Disappearance of Funds,37
2019,Loan or Finance Company,Excessive Insurance,1
2019,Loan or Finance Company,Exchanges Small Bills for Large Bills or Vice Versa,2
2019,Loan or Finance Company,Foreclosure/Short Sale Fraud,28
2019,Loan or Finance Company,Forgeries,218
2019,Loan or Finance Company,Funnel Account,10
2019,Loan or Finance Company,Healthcare/Public or Private Health Insurance,1
2019,Loan or Finance Company,Identity Theft,444
2019,Loan or Finance Company,"Little or No Concern for Product Performance Penalites, Fees, or Tax Consequences",6
2019,Loan or Finance Company,Loan Modification Fraud,264
2019,Loan or Finance Company,Mail,16
2019,Loan or Finance Company,Misuse of Position or Self-Dealing,18
2019,Loan or Finance Company,Multiple Individuals with Same or Similar Identities,11
2019,Loan or Finance Company,Origination Fraud,899
2019,Loan or Finance Company,Casinos,1
2019,Loan or Finance Company,Cyber Event,9
2019,Loan or Finance Company,Fraud (Type),"2,567"
2019,Loan or Finance Company,Gaming Activites,4
2019,Loan or Finance Company,Identification Documentation,"2,067"
2019,Loan or Finance Company,Money Laundering,35
2019,Loan or Finance Company,Mortgage Fraud,"3,877"
2019,Loan or Finance Company,Other Suspicious Activities,267
